symbol,name,country,sector,industry,wikipediaTitle
CXT,Crane NXT Co.,United States,Industrials,Office Equipment/Supplies/Services,Crane Co.
CXW,CoreCivic,United States,Real Estate,Real Estate Investment Trusts,CoreCivic
CYAN,Cyanotech Corporation,United States,Health Care, Medicinal Chemicals and Botanical Products ,Cyanotech
CYCC,Cyclacel Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Cyclacel
CYCN,Cyclerion Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CYD,China Yuchai International Limited,Singapore,Industrials,Industrial Machinery/Components,China Yuchai International
CYH,Community Health Systems,United States,Health Care,Hospital/Nursing Management,Community Health Systems
CYN,Cyngn,United States,Technology,EDP Services,
CYRX,CryoPort,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CYT,Cyteir Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CYTH,Cyclo Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
CYTK,Cytokineticsorporated,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CZFS,Citizens Financial Services,United States,Finance,Major Banks,
CZNC,Citizens & Northern Corp,United States,Finance,Major Banks,
CZR,Caesars Entertainment,United States,Consumer Discretionary,Hotels/Resorts,Caesars Entertainment
CZWI,Citizens Community Bancorp,United States,Finance,Savings Institutions,
D,Dominion Energy,United States,Utilities,Electric Utilities: Central,Dominion Energy
DAC,Danaos Corporation,Greece,Consumer Discretionary,Marine Transportation,
DAIO,Data I/O Corporation,United States,Technology,Industrial Machinery/Components,O
DAKT,Daktronics,United States,Consumer Discretionary,Miscellaneous manufacturing industries,Daktronics
DAL,Delta Air Lines,United States,Consumer Discretionary,Air Freight/Delivery Services,Delta Air Lines
DALN,DallasNews Corporation Series A,United States,Consumer Discretionary,Newspapers/Magazines,
DALS,DA32 Life Science Tech Acquisition Corp.,United States,Finance,Blank Checks,
DAR,Darling Ingredients,United States,Consumer Staples,Packaged Foods,
DARE,Dare Bioscience,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DASH,DoorDash,,Industrials,Industrial Machinery/Components,DoorDash
DATS,DatChat,United States,Technology,Computer Software: Prepackaged Software,
DAVE,Dave,United States,Technology,Retail: Computer Software & Peripheral Equipment,Dave (rapper)
DAWN,Day One Biopharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DB,Deutsche Bank AG,Germany,Finance,Major Banks,Deutsche Bank
DBGI,Digital Brands Group,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,
DBI,Designer Brands,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,Designer Brands
DBTX,Decibel Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DBX,Dropbox,United States,Technology,Computer Software: Prepackaged Software,Dropbox
DC,Dakota Gold Corp.,United States,Basic Materials,Precious Metals,
DCF,BNY Mellon Alcentra Global Creditome 2024 Target Term Fund,,Finance,Finance/Investors Services,
DCGO,DocGo,United States,Health Care,Managed Health Care,
DCI,Donaldson Company,United States,Industrials,Pollution Control Equipment,Donaldson Company
DCO,Ducommunorporated,United States,Industrials,Military/Government/Technical,Ducommun
DCOM,Dime Community Bancshares,United States,Finance,Major Banks,
DCPH,Deciphera Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DCTH,Delcath Systems,United States,Health Care,Medical/Dental Instruments,
DD,DuPont de Nemours,United States,Industrials,Major Chemicals,
DDD,3D Systems Corporation,United States,Technology,Computer peripheral equipment,3D Systems
DDOG,Datadog,United States,Technology,Computer Software: Prepackaged Software,Datadog
DDS,Dillard's,United States,Consumer Discretionary,Department/Specialty Retail Stores,Dillard's
DE,Deere & Company,United States,Industrials,Industrial Machinery/Components,John Deere
DEA,Easterly Government Properties,United States,Real Estate,Real Estate Investment Trusts,
DECK,Deckers Outdoor Corporation,United States,Consumer Discretionary,Shoe Manufacturing,Deckers Outdoor Corporation
DEI,Douglas Emmett,United States,Real Estate,Real Estate Investment Trusts,
DEN,Denbury,,Energy,Oil & Gas Production,Denbury Resources
DENN,Denny's Corporation,United States,Consumer Discretionary,Restaurants,Denny's
DEO,Diageo plc,United Kingdom,Consumer Staples,Beverages (Production/Distribution),Diageo
DERM,Journey Medical Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DFFN,Diffusion Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Diffusion Pharmaceuticals
DFH,Dream Finders Homes,United States,Consumer Discretionary,Homebuilding,
DFP,Flaherty & Crumrine Dynamic Preferred andome Fund,,Finance,Investment Managers,
DFS,Discover Financial Services,United States,Finance,Finance: Consumer Services,Dean Witter Reynolds
DG,Dollar General Corporation,United States,Consumer Discretionary,Department/Specialty Retail Stores,Dollar General
DGICA,Donegal Group,United States,Finance,Property-Casualty Insurers,
DGICB,Donegal Group Class B,United States,Finance,Property-Casualty Insurers,
DGII,Digi International,United States,Technology,Computer peripheral equipment,Digi International
DGLY,Digital Ally,United States,Technology,Radio And Television Broadcasting And Communications Equipment,
DGX,Quest Diagnosticsorporated,United States,Health Care,Medical Specialities,
DH,Definitive Healthcare Corp.,United States,Technology,Computer Software: Prepackaged Software,
DHAC,Digital Health Acquisition Corp.,United States,Health Care,Medical/Nursing Services,
DHF,BNY Mellon High Yield Strategies Fund,United States,Finance,Finance Companies,
DHI,D.R. Horton,United States,Consumer Discretionary,Homebuilding,D. R. Horton
DHIL,Diamond Hill Investment Group,United States,Finance,Investment Managers,
DHR,Danaher Corporation,United States,Industrials,Industrial Machinery/Components,Danaher Corporation
DHX,DHI Group,United States,Consumer Discretionary,Business Services,
DHY,Credit Suisse High Yield Bond Fund,United States,Finance,Finance/Investors Services,
DIBS,1stdibs.com,United States,Consumer Discretionary,Catalog/Specialty Distribution,1stdibs
DICE,DICE Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DIN,Dine Brands Global,United States,Consumer Discretionary,Restaurants,Dine Brands
DINO,HF Sinclair Corporation,United States,Energy,Oil & Gas Production,
DIOD,Diodesorporated,United States,Technology,Semiconductors,
DIS,Walt Disney Company (The),United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,The Walt Disney Company
DISH,DISH Network Corporation,United States,Telecommunications,Cable & Other Pay Television Services,Dish Network
DIT,AMCON Distributing Company,United States,Consumer Discretionary,Food Distributors,
DJCO,Daily Journal Corp. (S.C.),United States,Consumer Discretionary,Newspapers/Magazines,Daily Journal Corporation
DK,Delek US Holdings,United States,Energy,Integrated oil Companies,Delek US
DKDCA,Data Knights Acquisition Corp.,United Kingdom,Health Care,Biotechnology: Commercial Physical & Biological Resarch,
DKNG,DraftKings,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,DraftKings
DKS,Dick's Sporting Goods,United States,Consumer Discretionary,Other Specialty Stores,Dick's Sporting Goods
DLA,Delta Apparel,United States,Consumer Staples,Apparel,
DLB,Dolby Laboratories,United States,Miscellaneous,Multi-Sector Companies,Dolby
DLPN,Dolphin Entertainment,United States,Consumer Discretionary,Other Consumer Services,Dolphin Entertainment
DLR,Digital Realty Trust,United States,Real Estate,Real Estate Investment Trusts,
DLTH,Duluth Holdings Class B,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,
DLTR,Dollar Tree,United States,Consumer Discretionary,Department/Specialty Retail Stores,Dollar Tree
DLX,Deluxe Corporation,United States,Consumer Discretionary,Advertising,Deluxe Corporation
DM,Desktop Metal,,Technology,Computer peripheral equipment,Desktop Metal
DMA,Destra Multi-Alternative Fund,,Finance,Trusts Except Educational Religious and Charitable,
DMAC,DiaMedica Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DMAQ,Deep Medicine Acquisition Corp.,United States,Industrials,Consumer Electronics/Appliances,
DMB,BNY Mellon Municipal Bond Infrastructure Fund,,Finance,Trusts Except Educational Religious and Charitable,
DMF,BNY Mellon Municipalome,United States,Finance,Finance/Investors Services,
DMO,Western Asset Mortgage Opportunity Fund,United States,Finance,Trusts Except Educational Religious and Charitable,
DMRC,Digimarc Corporation,United States,Technology,EDP Services,Digimarc
DMTK,DermTech,United States,Health Care,Medical Specialities,
DMYY,dMY Squared Technology Group,,Finance,Blank Checks,
DNA,Ginkgo Bioworks Holdings,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Ginkgo Bioworks
DNB,Dun & Bradstreet Holdings,United States,Finance,Finance: Consumer Services,
DNLI,Denali Therapeutics,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
DNMR,Danimer Scientific,United States,Industrials,Major Chemicals,Danimer Scientific
DNOW,NOW,United States,Industrials,Metal Fabrications,Now (Sky)
DNP,DNP Selectome Fund,United States,Finance,Investment Managers,
DNUT,Krispy Kreme,United States,Consumer Staples,Food Chains,Krispy Kreme
DO,Diamond Offshore Drilling,United States,Energy,Oil & Gas Production,Diamond Offshore Drilling
DOCN,DigitalOcean Holdings,United States,Technology,Retail: Computer Software & Peripheral Equipment,
DOCS,Doximity,United States,Technology,Retail: Computer Software & Peripheral Equipment,Doximity
DOCU,DocuSign,United States,Technology,Computer Software: Prepackaged Software,DocuSign
DOGZ,Dogness (International) Corporation,China,Consumer Discretionary,Miscellaneous manufacturing industries,
DOMA,Doma Holdings,,Finance,Real Estate,
DOMH,Dominari Holdings,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DOMO,Domo Class B,United States,Technology,Computer Software: Prepackaged Software,
DORM,Dorman Products,United States,Consumer Discretionary,Auto Parts:O.E.M.,Dorman Products
DOUG,Douglas Elliman,United States,Real Estate,Building operators,Douglas Elliman
DOV,Dover Corporation,United States,Industrials,Industrial Machinery/Components,Dover Corporation
DPSI,DecisionPoint Systems,,Technology,Retail: Computer Software & Peripheral Equipment,
DPZ,Domino's Pizza,United States,Consumer Discretionary,Food Distributors,Domino's
DRCT,Direct Digital Holdings,United States,Technology,Computer Software: Programming Data Processing,
DRH,Diamondrock Hospitality Company,United States,Real Estate,Real Estate Investment Trusts,
DRI,Darden Restaurants,United States,Consumer Discretionary,Restaurants,Darden Restaurants
DRIO,DarioHealth Corp.,Israel,Health Care,Medical/Dental Instruments,
DRMA,Dermata Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DRQ,Dril-Quip,United States,Industrials,Metal Fabrications,
DRRX,DURECT Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DRS,Leonardo DRS,Israel,Industrials,Military/Government/Technical,Leonardo DRS
DRUG,Bright Minds Biosciences,Canada,Health Care,Pharmaceuticals and Biotechnology,
DRVN,Driven Brands Holdings,United States,Consumer Discretionary,Automotive Aftermarket,
DSAQ,Direct Selling Acquisition Corp.,,Finance,Blank Checks,
DSGN,Design Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DSGR,Distribution Solutions Group,United States,Industrials,Industrial Machinery/Components,
DSGX,Descartes Systems Group (The),Canada,Technology,Computer Software: Prepackaged Software,Descartes Systems Group
DSKE,Daseke,United States,,,Daseke
DSM,BNY Mellon Strategic Municipal Bond Fund,United States,Finance,Investment Managers,
DSP,Viant Technology,United States,Technology,EDP Services,
DSS,DSS,United States,Consumer Discretionary,Containers/Packaging,
DSU,Blackrock Debt Strategies Fund,United States,Finance,Finance Companies,
DT,Dynatrace,United States,Technology,EDP Services,Dynatrace
DTC,Solo Brands,,Consumer Discretionary,Recreational Games/Products/Toys,
DTE,DTE Energy Company,United States,Utilities,Electric Utilities: Central,DTE Energy
DTF,DTF Tax-Freeome 2028 Term Fund,United States,Finance,Investment Managers,
DTI,Drilling Tools International Corporation,United States,Industrials,Metal Fabrications,
DTIL,Precision BioSciences,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Precision BioSciences
DTOC,Digital Transformation Opportunities Corp.,United States,Health Care,Medical/Nursing Services,
DTSS,Datasea,China,Technology,Computer Software: Prepackaged Software,
DTST,Data Storage Corporation,United States,Technology,EDP Services,
DUET,DUET Acquisition Corp.,Malaysia,Finance,Blank Checks,
DUK,Duke Energy Corporation (Holding Company),United States,Utilities,Power Generation,
DUNE,Dune Acquisition Corporation,United States,Finance,Investment Bankers/Brokers/Service,
DUOL,Duolingo,United States,Technology,Computer Software: Prepackaged Software,Duolingo
DUOT,Duos Technologies Group,United States,Technology,Computer Software: Prepackaged Software,
DV,DoubleVerify Holdings,,Technology,Computer Software: Prepackaged Software,
DVA,DaVita,United States,Health Care,Misc Health and Biotechnology Services,
DVAX,Dynavax Technologies Corporation,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
DVN,Devon Energy Corporation,United States,Energy,Oil & Gas Production,Devon Energy
DWAC,Digital World Acquisition Corp.,United States,Technology,Computer Software: Programming Data Processing,
DWSN,Dawson Geophysical Company,United States,Energy,Oil & Gas Production,
DX,Dynex Capital,United States,Real Estate,Real Estate Investment Trusts,
DXCM,DexCom,United States,Health Care,Medical/Dental Instruments,Dexcom
DXLG,Destination XL Group,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,Destination XL Group
DXPE,DXP Enterprises,United States,Industrials,Industrial Machinery/Components,
DXR,Daxor Corporation,United States,Health Care,Medical/Dental Instruments,
DXYN,Dixie Group (The),United States,Consumer Discretionary,Home Furnishings,
DY,Dycom Industries,United States,Industrials,Water Sewer Pipeline Comm & Power Line Construction,
DYAI,Dyadic International,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
DYN,Dyne Therapeutics,United States,Health Care, Medicinal Chemicals and Botanical Products ,
DYNT,Dynatronics Corporation,United States,Health Care,Medical/Dental Instruments,
DZSI,DZS,United States,Utilities,Telecommunications Equipment,DZS
E,ENI S.p.A.,Italy,Energy,Oil & Gas Production,Eni
EA,Electronic Arts,United States,Technology,Computer Software: Prepackaged Software,Electronic Arts
EAC,Edify Acquisition Corp.,United States,Finance,Blank Checks,
EAF,GrafTech International Ltd.,United States,Energy,Industrial Machinery/Components,GrafTech
EAR,Eargo,United States,Health Care,Medical Specialities,Eargo
EAST,Eastside Distilling,United States,Consumer Staples,Beverages (Production/Distribution),
EAT,Brinker International,United States,Consumer Discretionary,Restaurants,Brinker International
EB,Eventbrite,United States,Technology,Computer Software: Programming Data Processing,Eventbrite
EBAY,eBay,United States,Consumer Discretionary,Business Services,EBay
EBC,Eastern Bankshares,United States,Finance,Accident &Health Insurance,
EBET,EBET INC.,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,
EBF,Ennis,United States,Consumer Discretionary,Office Equipment/Supplies/Services,Ennis
EBIX,Ebix,United States,Technology,EDP Services,Ebix
EBMT,Eagle Bancorp Montana,United States,Finance,Major Banks,
EBS,Emergent Biosolutions,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Emergent BioSolutions
EBTC,Enterprise Bancorp,United States,Finance,Major Banks,
ECBK,ECB Bancorp,United States,Finance,Banks,
ECC           ,Eagle Point Credit Company,United States,Finance,Trusts Except Educational Religious and Charitable,
ECL,Ecolab,United States,Consumer Discretionary,Package Goods/Cosmetics,Ecolab
ECOR,electroCore,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,ElectroCore
ECPG,Encore Capital Group,United States,Finance,Finance Companies,Encore Capital Group
ECVT,Ecovyst,United States,Industrials,Major Chemicals,
ED,Consolidated Edison,United States,Utilities,Power Generation,Consolidated Edison
EDBL,Edible Garden AGorporated,United States,Consumer Staples,Farming/Seeds/Milling,
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund,United States,Finance,Finance Companies,
EDIT,Editas Medicine,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Editas Medicine
EDR,Endeavor Group Holdings,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,Endeavor (company)
EDUC,Educational Development Corporation,United States,Consumer Discretionary,Consumer Specialties,
EE,Excelerate Energy,,Utilities,Oil/Gas Transmission,
EEA,The European Equity Fund,United States,Finance,Trusts Except Educational Religious and Charitable,
EEFT,Euronet Worldwide,United States,Technology,EDP Services,Euronet Worldwide
EEIQ,EpicQuest Education Group International Limited,United States,Consumer Discretionary,Educational Services,
EEX,Emerald Holding,United States,Consumer Discretionary,Business Services,
EFHT,EF Hutton Acquisition Corporation I,United States,Consumer Discretionary,Auto Manufacturing,
EFOI,Energy Focus,United States,Consumer Discretionary,Building Products,
EFSC,Enterprise Financial Services Corporation,United States,Finance,Major Banks,
EFTR,eFFECTOR Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
EFX,Equifax,United States,Finance,Finance: Consumer Services,Equifax
EG,Everest Group Ltd.,Bermuda,Finance,Property-Casualty Insurers,
EGAN,eGain Corporation,United States,Technology,Computer Software: Prepackaged Software,EGain
EGBN,Eagle Bancorp,United States,Finance,Major Banks,
EGF,Blackrock Enhanced Government Fund,United States,Finance,Trusts Except Educational Religious and Charitable,
EGGF,EG Acquisition Corp.,,Finance,Blank Checks,
EGHT,8x8,United States,Technology,EDP Services,8x8
EGIO,Edgio,United States,Consumer Discretionary,Business Services,Edgio
EGLE,Eagle Bulk Shipping,United States,Consumer Discretionary,Marine Transportation,
EGLX,Enthusiast Gaming Holdings,Canada,Miscellaneous,Other Pharmaceuticals,Enthusiast Gaming
EGP,EastGroup Properties,United States,Real Estate,Real Estate Investment Trusts,
EGRX,Eagle Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
EGY,VAALCO Energy ,United States,,,Vaalco Energy
EHAB,Enhabit,,Health Care,Hospital/Nursing Management,
EHC,Encompass Health Corporation,United States,Health Care,Hospital/Nursing Management,Encompass Health
EHI,Western Asset Global Highome Fund,United States,Finance,Investment Managers,
EHTH,eHealth,United States,Finance,Specialty Insurers,EHealth
EIC,Eagle Pointome Company,,Finance,Finance/Investors Services,
EIG,Employers Holdings,United States,Finance,Property-Casualty Insurers,
EIGR,Eiger BioPharmaceuticals,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
EIX,Edison International,United States,Utilities,Electric Utilities: Central,Edison International
EKSO,Ekso Bionics Holdings,United States,Industrials,Industrial Machinery/Components,Ekso Bionics
EL,Estee Lauder Companies (The),United States,Consumer Discretionary,Package Goods/Cosmetics,The Est%C3%A9e Lauder Companies
ELA,Envela Corporation,United States,Consumer Discretionary,Consumer Specialties,DGSE Companies
ELAN,Elanco Animal Healthorporated,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ELBM,Electra Battery Materials Corporation,Canada,,,
ELDN,Eledon Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ELF,e.l.f. Beauty,United States,Consumer Discretionary,Package Goods/Cosmetics,
ELMD,Electromed,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
ELME,Elme Communities,United States,Real Estate,Real Estate Investment Trusts,
ELOX,Eloxx Pharmaceuticals,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
ELS,Equity Lifestyle Properties,United States,Real Estate,Real Estate Investment Trusts,
ELSE,Electro-Sensors,United States,Industrials,Industrial Machinery/Components,
ELTX,Elicio Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ELV,Elevance Health,United States,Health Care,Medical Specialities,Elevance Health
ELVN,Enliven Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ELYM,Eliem Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ELYS,Elys Game Technology Corp.,United States,Technology,Computer Software: Prepackaged Software,
EMAN,eMagin Corporation,United States,Technology,Industrial Machinery/Components,EMagin
EMBC,Embecta Corp.,United States,Health Care,Medical/Dental Instruments,
EMBK,Embark Technology,United States,Technology,Computer Software: Prepackaged Software,
EMD,Western Asset Emerging Markets Debt Fund,United States,Finance,Finance/Investors Services,
EME,EMCOR Group,United States,Industrials,Engineering & Construction,Emcor
EMF,Templeton Emerging Markets Fund,United States,Finance,Finance/Investors Services,
EMKR,EMCORE Corporation,United States,Technology,Semiconductors,
EML,Eastern Company (The),United States,Consumer Discretionary,Industrial Machinery/Components,The Eastern Company
EMLD,FTAC Emerald Acquisition Corp.,United States,Finance,Blank Checks,
EMN,Eastman Chemical Company,United States,Industrials,Major Chemicals,Eastman Chemical Company
EMO,ClearBridge Energy Midstream Opportunity Fund,United States,Finance,Investment Managers,
EMR,Emerson Electric Company,United States,Technology,Consumer Electronics/Appliances,Emerson Electric
ENB,Enbridge,Canada,Energy,Oil & Gas Production,Enbridge
ENER,Accretion Acquisition Corp.,United States,Finance,Blank Checks,
ENFN,Enfusion,United States,Technology,Computer Software: Prepackaged Software,
ENG,ENGlobal Corporation,United States,Consumer Discretionary,Military/Government/Technical,
ENOB,Enochian Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ENOV,Enovis Corporation,United States,Industrials,Fluid Controls,Enovis
ENPH,Enphase Energy,United States,Technology,Semiconductors,Enphase Energy
ENR,Energizer Holdings,United States,Miscellaneous,Industrial Machinery/Components,Energizer
ENS,EnerSys,United States,Technology,Industrial Machinery/Components,EnerSys
ENSC,Ensysce Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ENSG,The Ensign Group,United States,Health Care,Hospital/Nursing Management,
ENSV,Enservco Corporation,United States,Energy,Oilfield Services/Equipment,
ENTA,Enanta Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ENTG,Entegris,United States,Industrials,Plastic Products,Entegris
ENV,Envestnet,United States,Technology,EDP Services,Envestnet
ENVA,Enova International,United States,Finance,Finance: Consumer Services,
ENVB,Enveric Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ENVX,Enovix Corporation,United States,Miscellaneous,Industrial Machinery/Components,
EOG,EOG Resources,United States,Energy,Oil & Gas Production,EOG Resources
EOLS,Evolus,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
EOS,Eaton Vance Enhance Equityome Fund II,,Finance,Trusts Except Educational Religious and Charitable,
EOSE,Eos Energy Enterprises,United States,Miscellaneous,Industrial Machinery/Components,
EP,Empire Petroleum Corporation,United States,Energy,Oil & Gas Production,
EPAC,Enerpac Tool Group Corp.,United States,Industrials,Industrial Machinery/Components,Enerpac Tool Group
EPAM,EPAM Systems,United States,Technology,EDP Services,EPAM Systems
EPC,Edgewell Personal Care Company,,Consumer Discretionary,Package Goods/Cosmetics,
EPD,Enterprise Products Partners L.P.,United States,Utilities,Natural Gas Distribution,Enterprise Products
EPIX,ESSA Pharma,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,
EPM,Evolution Petroleum Corporation,United States,Energy,Oil & Gas Production,
EPR,EPR Properties,United States,Real Estate,Real Estate Investment Trusts,EPR Properties
EPRT,Essential Properties Realty Trust,United States,Real Estate,Real Estate Investment Trusts,
EQ,Equillium,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
EQBK,Equity Bancshares,United States,Finance,Major Banks,
EQH,Equitable Holdings,United States,Finance,Specialty Insurers,Equitable Holdings
EQRX,EQRx ,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
EQS,Equus Total Return,United States,Finance,Finance/Investors Services,
EQT,EQT Corporation,United States,Energy,Oil & Gas Production,EQT Corporation
ERAS,Erasca,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ERC,Allspring Multi-Sectorome Fund,United States,Finance,Finance/Investors Services,
ERF,Enerplus Corporation,Canada,Energy,Oil & Gas Production,Enerplus
ERIE,Erie Indemnity Company,United States,Finance,Specialty Insurers,
ERII,Energy Recovery,United States,Technology,Industrial Machinery/Components,Energy Recovery
ERJ,Embraer S.A.,Brazil,Industrials,Aerospace,Embraer
ERNA,Eterna Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ES,Eversource Energy (D/B/A),United States,Utilities,Electric Utilities: Central,
ESAB,ESAB Corporation,,Industrials,Office Equipment/Supplies/Services,ESAB
ESCA,Escaladeorporated,United States,Consumer Discretionary,Recreational Games/Products/Toys,
ESE,ESCO Technologies,United States,Telecommunications,Telecommunications Equipment,
ESI,Element Solutions,United States,Industrials,Major Chemicals,Element Solutions
ESMT,EngageSmart,,Technology,EDP Services,
ESOA,Energy Services of America Corporation,United States,Industrials,Water Sewer Pipeline Comm & Power Line Construction,
ESP,Espey Mfg. & Electronics Corp.,United States,Technology,Industrial Machinery/Components,
ESPR,Esperion Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,Esperion Therapeutics
ESQ,Esquire Financial Holdings,United States,Finance,Commercial Banks,
ESRT,Empire State Realty Trust,United States,Real Estate,Real Estate Investment Trusts,
ESS,Essex Property Trust,United States,Real Estate,Real Estate Investment Trusts,Essex Property Trust
ESSA,ESSA Bancorp,United States,Finance,Banks,
ESTE,Earthstone Energy,United States,Energy,Oil & Gas Production,
ETD,Ethan Allen Interiors,United States,Consumer Discretionary,Home Furnishings,Ethan Allen (company)
ETNB,89bio,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,United States,Finance,Investment Managers,
ETON,Eton Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
ETR,Entergy Corporation,United States,Utilities,Electric Utilities: Central,Entergy
ETSY,Etsy,United States,Consumer Discretionary,Business Services,Etsy
ETWO,E2open Parent HoldingsClass A,,Technology,EDP Services,
EVA,Enviva,United States,,,Enviva
EVBG,Everbridge,United States,Technology,Retail: Computer Software & Peripheral Equipment,Everbridge
EVBN,Evans Bancorp,United States,Finance,Major Banks,
EVC,Entravision Communications Corporation,United States,Industrials,Broadcasting,Entravision Communications
EVCM,EverCommerce,United States,Technology,EDP Services,
EVER,EverQuote,United States,Technology,EDP Services,EverQuote
EVEX,Eve Holding,,Industrials,Aerospace,Eve Air Mobility
EVF,Eaton Vance Seniorome Trust,United States,Finance,Investment Bankers/Brokers/Service,
EVGO,EVgo,United States,Consumer Discretionary,Other Specialty Stores,EVgo
EVH,Evolent Health,United States,Consumer Discretionary,Other Consumer Services,
EVI,EVI Industries ,United States,Consumer Discretionary,Other Consumer Services,
EVLO,Evelo Biosciences,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
EVLV,Evolv Technologies Holdings,United States,Technology,Computer peripheral equipment,
EVN,Eaton Vance Municipalome Trust,United States,Finance,Investment Managers,
EVOK,Evoke Pharma,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
EVR,Evercore,United States,Finance,Investment Managers,Evercore
EVRG,Evergy,United States,Utilities,Power Generation,Evergy
EVRI,Everi Holdings,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,Everi Holdings
EVTC,Evertec,Puerto Rico,Technology,EDP Services,
EVTV,Envirotech Vehicles,United States,Consumer Discretionary,Auto Parts:O.E.M.,
EW,Edwards Lifesciences Corporation,United States,Health Care,Industrial Specialties,Edwards Lifesciences
EWBC,East West Bancorp,United States,Finance,Major Banks,East West Bancorp
EWCZ,European Wax Center,United States,Consumer Discretionary,Package Goods/Cosmetics,European Wax Center
EWTX,Edgewise Therapeutics,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
EXAS,Exact Sciences Corporation,United States,Health Care,Medical Specialities,Exact Sciences (company)
EXC,Exelon Corporation,United States,Utilities,Power Generation,Exelon
EXEL,Exelixis,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Exelixis
EXFY,Expensify,United States,Technology,Computer Software: Prepackaged Software,Expensify
EXLS,ExlService Holdings,United States,Technology,Retail: Computer Software & Peripheral Equipment,EXL Service
EXP,Eagle Materials,United States,Industrials,Building Materials,Eagle Materials
EXPD,Expeditors International of Washington,United States,Consumer Discretionary,Oil Refining/Marketing,Expeditors International
EXPE,Expedia Group,United States,Consumer Discretionary,Transportation Services,Expedia Group
EXPI,eXp World Holdings,United States,Finance,Real Estate,
